,de,en,es,fr,it,nl,pl,pt,ru
xlm-roberta-de,0.844,0.737,0.787,0.809,0.827,0.838,0.855,0.849,0.811
xlm-roberta-en,0.627,0.796,0.785,0.76,0.814,0.825,0.848,0.85,0.798
xlm-roberta-es,0.535,0.589,0.873,0.793,0.811,0.769,0.757,0.887,0.708
xlm-roberta-fr,0.496,0.599,0.766,0.844,0.813,0.718,0.768,0.826,0.715
xlm-roberta-it,0.492,0.575,0.749,0.749,0.843,0.738,0.805,0.848,0.732
xlm-roberta-nl,0.592,0.769,0.781,0.792,0.83,0.873,0.855,0.854,0.791
xlm-roberta-pl,0.521,0.591,0.722,0.734,0.794,0.78,0.882,0.829,0.769
xlm-roberta-pt,0.515,0.606,0.822,0.769,0.836,0.786,0.849,0.905,0.767
xlm-roberta-ru,0.606,0.643,0.648,0.735,0.77,0.792,0.804,0.738,0.835
