,de,en,es,fr,it,nl,pl,pt,ru
xlm-roberta-de,0.85,0.758,0.765,0.769,0.795,0.823,0.792,0.803,0.661
xlm-roberta-en,0.615,0.783,0.786,0.703,0.792,0.788,0.787,0.804,0.682
xlm-roberta-es,0.505,0.676,0.848,0.757,0.812,0.775,0.738,0.845,0.628
xlm-roberta-fr,0.537,0.686,0.772,0.828,0.814,0.76,0.751,0.81,0.646
xlm-roberta-it,0.52,0.671,0.772,0.726,0.841,0.713,0.77,0.827,0.657
xlm-roberta-nl,0.614,0.749,0.779,0.744,0.799,0.863,0.799,0.807,0.655
xlm-roberta-pl,0.651,0.681,0.761,0.734,0.823,0.759,0.861,0.822,0.725
xlm-roberta-pt,0.524,0.685,0.817,0.728,0.822,0.743,0.792,0.872,0.671
xlm-roberta-ru,0.621,0.656,0.665,0.653,0.753,0.703,0.729,0.699,0.783
