,de,en,es,fr,it,nl,pl,pt,ru
xlm-roberta-de,0.531,0.438,0.52,0.483,0.421,0.464,0.544,0.512,0.52
xlm-roberta-en,0.52,0.677,0.538,0.544,0.471,0.644,0.531,0.592,0.53
xlm-roberta-es,0.51,0.408,0.675,0.603,0.546,0.487,0.594,0.656,0.473
xlm-roberta-fr,0.487,0.448,0.597,0.617,0.496,0.487,0.579,0.59,0.446
xlm-roberta-it,0.532,0.404,0.654,0.595,0.516,0.493,0.615,0.579,0.46
xlm-roberta-nl,0.551,0.596,0.602,0.588,0.494,0.673,0.553,0.61,0.505
xlm-roberta-pl,0.437,0.373,0.534,0.504,0.406,0.425,0.566,0.512,0.421
xlm-roberta-pt,0.49,0.413,0.671,0.576,0.506,0.464,0.555,0.669,0.462
xlm-roberta-ru,0.362,0.529,0.454,0.391,0.342,0.388,0.443,0.419,0.509
