,de,en,es,fr,it,nl,pl,pt,ru
xlm-roberta-de,0.852,0.681,0.624,0.584,0.689,0.701,0.656,0.604,0.524
xlm-roberta-en,0.516,0.78,0.611,0.379,0.703,0.608,0.637,0.576,0.529
xlm-roberta-es,0.502,0.681,0.759,0.493,0.762,0.612,0.642,0.659,0.573
xlm-roberta-fr,0.472,0.699,0.591,0.725,0.735,0.647,0.644,0.639,0.566
xlm-roberta-it,0.405,0.735,0.639,0.371,0.793,0.52,0.674,0.664,0.588
xlm-roberta-nl,0.667,0.701,0.659,0.505,0.695,0.8,0.66,0.609,0.515
xlm-roberta-pl,0.648,0.624,0.652,0.402,0.784,0.544,0.761,0.653,0.618
xlm-roberta-pt,0.419,0.684,0.644,0.357,0.742,0.35,0.65,0.724,0.576
xlm-roberta-ru,0.512,0.543,0.486,0.321,0.614,0.531,0.582,0.483,0.641
