,de,en,es,fr,it,nl,pl,pt,ru
xlm-roberta-de,0.558,0.516,0.53,0.461,0.382,0.521,0.464,0.489,0.39
xlm-roberta-en,0.384,0.657,0.599,0.49,0.436,0.633,0.481,0.58,0.434
xlm-roberta-es,0.256,0.473,0.684,0.563,0.515,0.535,0.498,0.64,0.39
xlm-roberta-fr,0.338,0.513,0.616,0.62,0.492,0.566,0.53,0.613,0.393
xlm-roberta-it,0.357,0.477,0.658,0.591,0.528,0.453,0.546,0.611,0.398
xlm-roberta-nl,0.35,0.594,0.601,0.505,0.433,0.688,0.492,0.552,0.388
xlm-roberta-pl,0.434,0.467,0.578,0.559,0.455,0.458,0.592,0.577,0.445
xlm-roberta-pt,0.329,0.489,0.7,0.554,0.499,0.535,0.511,0.683,0.404
xlm-roberta-ru,0.371,0.542,0.507,0.43,0.379,0.421,0.437,0.438,0.577
