,de,en,es,fr,it,nl,pl,pt,ru
xlm-roberta-de,0.849,0.712,0.779,0.759,0.773,0.812,0.802,0.789,0.662
xlm-roberta-en,0.706,0.795,0.798,0.73,0.803,0.815,0.816,0.819,0.705
xlm-roberta-es,0.624,0.67,0.852,0.765,0.803,0.788,0.775,0.852,0.617
xlm-roberta-fr,0.643,0.684,0.785,0.836,0.814,0.783,0.787,0.827,0.645
xlm-roberta-it,0.629,0.681,0.798,0.751,0.841,0.76,0.803,0.843,0.666
xlm-roberta-nl,0.708,0.73,0.795,0.75,0.779,0.867,0.807,0.811,0.659
xlm-roberta-pl,0.726,0.679,0.779,0.738,0.805,0.785,0.867,0.821,0.71
xlm-roberta-pt,0.632,0.685,0.827,0.746,0.822,0.772,0.809,0.876,0.663
xlm-roberta-ru,0.676,0.662,0.684,0.664,0.748,0.712,0.756,0.709,0.781
