,de,en,es,fr,it,nl,pl,pt,ru
xlm-roberta-de,2638,4505,2817,2592,2342,2388,2042,2203,2421
xlm-roberta-en,2638,4505,2817,2592,2342,2388,2042,2203,2421
xlm-roberta-es,2638,4505,2817,2592,2342,2388,2042,2203,2421
xlm-roberta-fr,2638,4505,2817,2592,2342,2388,2042,2203,2421
xlm-roberta-it,2638,4505,2817,2592,2342,2388,2042,2203,2421
xlm-roberta-nl,2638,4505,2817,2592,2342,2388,2042,2203,2421
xlm-roberta-pl,2638,4505,2817,2592,2342,2388,2042,2203,2421
xlm-roberta-pt,2638,4505,2817,2592,2342,2388,2042,2203,2421
xlm-roberta-ru,2638,4505,2817,2592,2342,2388,2042,2203,2421
