,de,en,es,fr,it,nl,pl,pt,ru
xlm-roberta-de,0.961,0.928,0.957,0.943,0.943,0.933,0.906,0.933,0.83
xlm-roberta-en,0.925,0.9,0.939,0.923,0.914,0.876,0.871,0.886,0.802
xlm-roberta-es,0.89,0.884,0.956,0.94,0.932,0.918,0.877,0.91,0.785
xlm-roberta-fr,0.859,0.872,0.954,0.94,0.93,0.9,0.855,0.902,0.79
xlm-roberta-it,0.863,0.838,0.941,0.927,0.932,0.909,0.844,0.899,0.784
xlm-roberta-nl,0.941,0.91,0.962,0.949,0.948,0.95,0.906,0.934,0.825
xlm-roberta-pl,0.942,0.906,0.96,0.949,0.945,0.936,0.937,0.929,0.854
xlm-roberta-pt,0.844,0.85,0.945,0.926,0.92,0.902,0.863,0.91,0.769
xlm-roberta-ru,0.844,0.848,0.873,0.842,0.85,0.733,0.758,0.812,0.814
