,de,en,es,fr,it,nl,pl,pt,ru
xlm-roberta-de,0.848,0.672,0.793,0.75,0.753,0.802,0.813,0.776,0.662
xlm-roberta-en,0.828,0.807,0.811,0.76,0.814,0.844,0.848,0.835,0.73
xlm-roberta-es,0.816,0.664,0.857,0.774,0.794,0.801,0.817,0.859,0.606
xlm-roberta-fr,0.799,0.681,0.798,0.844,0.815,0.808,0.826,0.845,0.643
xlm-roberta-it,0.795,0.692,0.826,0.779,0.841,0.813,0.839,0.861,0.675
xlm-roberta-nl,0.838,0.712,0.811,0.756,0.76,0.871,0.815,0.815,0.663
xlm-roberta-pl,0.821,0.677,0.799,0.743,0.788,0.813,0.874,0.821,0.697
xlm-roberta-pt,0.795,0.685,0.837,0.764,0.822,0.804,0.826,0.879,0.655
xlm-roberta-ru,0.74,0.669,0.704,0.676,0.743,0.721,0.785,0.719,0.778
