,de,en,es,fr,it,nl,pl,pt,ru
xlm-roberta-de,0.829,0.633,0.668,0.473,0.484,0.688,0.666,0.498,0.388
xlm-roberta-en,0.74,0.735,0.652,0.399,0.684,0.69,0.723,0.665,0.439
xlm-roberta-es,0.75,0.573,0.719,0.447,0.556,0.672,0.666,0.642,0.376
xlm-roberta-fr,0.645,0.507,0.539,0.717,0.642,0.623,0.649,0.652,0.404
xlm-roberta-it,0.575,0.576,0.569,0.355,0.681,0.534,0.616,0.658,0.398
xlm-roberta-nl,0.782,0.607,0.66,0.426,0.487,0.753,0.697,0.542,0.399
xlm-roberta-pl,0.765,0.628,0.675,0.377,0.615,0.747,0.797,0.643,0.451
xlm-roberta-pt,0.626,0.567,0.604,0.32,0.669,0.581,0.642,0.689,0.372
xlm-roberta-ru,0.728,0.632,0.639,0.438,0.691,0.663,0.758,0.718,0.559
