,de,en,es,fr,it,nl,pl,pt,ru
xlm-roberta-de,0.961,0.87,0.96,0.939,0.894,0.938,0.912,0.902,0.718
xlm-roberta-en,0.942,0.909,0.952,0.936,0.913,0.901,0.9,0.89,0.812
xlm-roberta-es,0.922,0.859,0.961,0.939,0.897,0.934,0.896,0.898,0.718
xlm-roberta-fr,0.907,0.869,0.963,0.947,0.913,0.923,0.886,0.901,0.758
xlm-roberta-it,0.909,0.859,0.956,0.941,0.925,0.93,0.877,0.909,0.768
xlm-roberta-nl,0.947,0.856,0.962,0.94,0.893,0.95,0.904,0.899,0.717
xlm-roberta-pl,0.951,0.866,0.962,0.942,0.902,0.94,0.942,0.903,0.749
xlm-roberta-pt,0.9,0.861,0.958,0.939,0.913,0.926,0.892,0.915,0.763
xlm-roberta-ru,0.847,0.832,0.86,0.838,0.846,0.756,0.783,0.797,0.84
