,de,en,es,fr,it,nl,pl,pt,ru
xlm-roberta-de,0.962,0.819,0.963,0.936,0.849,0.942,0.917,0.872,0.633
xlm-roberta-en,0.959,0.917,0.966,0.95,0.911,0.927,0.93,0.894,0.823
xlm-roberta-es,0.957,0.835,0.966,0.938,0.865,0.951,0.915,0.886,0.661
xlm-roberta-fr,0.962,0.866,0.972,0.955,0.897,0.947,0.918,0.901,0.728
xlm-roberta-it,0.96,0.881,0.972,0.955,0.917,0.951,0.911,0.918,0.752
xlm-roberta-nl,0.952,0.807,0.963,0.932,0.844,0.951,0.902,0.867,0.634
xlm-roberta-pl,0.959,0.829,0.963,0.935,0.863,0.944,0.947,0.878,0.667
xlm-roberta-pt,0.963,0.872,0.972,0.953,0.906,0.952,0.923,0.919,0.758
xlm-roberta-ru,0.85,0.817,0.848,0.834,0.841,0.781,0.81,0.783,0.867
