,de,en,es,fr,it,nl,pl,pt,ru
xlm-roberta-de,3951,3449,2239,3505,2229,1328,2419,1342,3051
xlm-roberta-en,3951,3449,2239,3505,2229,1328,2419,1342,3051
xlm-roberta-es,3951,3449,2239,3505,2229,1328,2419,1342,3051
xlm-roberta-fr,3951,3449,2239,3505,2229,1328,2419,1342,3051
xlm-roberta-it,3951,3449,2239,3505,2229,1328,2419,1342,3051
xlm-roberta-nl,3951,3449,2239,3505,2229,1328,2419,1342,3051
xlm-roberta-pl,3951,3449,2239,3505,2229,1328,2419,1342,3051
xlm-roberta-pt,3951,3449,2239,3505,2229,1328,2419,1342,3051
xlm-roberta-ru,3951,3449,2239,3505,2229,1328,2419,1342,3051
