,de,en,es,fr,it,nl,pl,pt,ru
xlm-roberta-de,0.87,0.74,0.816,0.805,0.819,0.845,0.846,0.836,0.81
xlm-roberta-en,0.742,0.823,0.834,0.791,0.827,0.857,0.868,0.864,0.825
xlm-roberta-es,0.661,0.664,0.894,0.812,0.829,0.804,0.795,0.9,0.705
xlm-roberta-fr,0.638,0.684,0.813,0.861,0.836,0.786,0.811,0.86,0.732
xlm-roberta-it,0.639,0.674,0.818,0.804,0.866,0.808,0.845,0.881,0.766
xlm-roberta-nl,0.714,0.773,0.817,0.799,0.822,0.893,0.848,0.86,0.802
xlm-roberta-pl,0.662,0.681,0.782,0.772,0.823,0.826,0.894,0.853,0.818
xlm-roberta-pt,0.653,0.689,0.862,0.809,0.848,0.826,0.855,0.916,0.768
xlm-roberta-ru,0.698,0.655,0.692,0.735,0.769,0.801,0.821,0.745,0.865
