,de,en,es,fr,it,nl,pl,pt,ru
xlm-roberta-de,0.897,0.743,0.847,0.802,0.81,0.852,0.838,0.823,0.81
xlm-roberta-en,0.907,0.852,0.889,0.825,0.842,0.892,0.888,0.88,0.853
xlm-roberta-es,0.866,0.76,0.916,0.833,0.848,0.842,0.837,0.913,0.702
xlm-roberta-fr,0.895,0.797,0.866,0.879,0.86,0.868,0.86,0.896,0.75
xlm-roberta-it,0.913,0.813,0.899,0.867,0.89,0.891,0.889,0.917,0.803
xlm-roberta-nl,0.9,0.777,0.857,0.807,0.815,0.913,0.842,0.867,0.813
xlm-roberta-pl,0.907,0.803,0.853,0.814,0.854,0.878,0.907,0.88,0.873
xlm-roberta-pt,0.891,0.797,0.906,0.852,0.861,0.871,0.862,0.927,0.768
xlm-roberta-ru,0.822,0.668,0.743,0.736,0.768,0.81,0.838,0.753,0.896
