,de,en,es,fr,it,nl,pl,pt,ru
xlm-roberta-de,0.588,0.629,0.54,0.441,0.349,0.593,0.404,0.468,0.312
xlm-roberta-en,0.304,0.639,0.677,0.446,0.407,0.623,0.44,0.569,0.367
xlm-roberta-es,0.171,0.562,0.693,0.529,0.486,0.594,0.429,0.625,0.332
xlm-roberta-fr,0.259,0.599,0.635,0.623,0.487,0.677,0.489,0.637,0.351
xlm-roberta-it,0.268,0.583,0.662,0.587,0.54,0.419,0.491,0.647,0.35
xlm-roberta-nl,0.257,0.592,0.6,0.443,0.385,0.703,0.442,0.504,0.315
xlm-roberta-pl,0.431,0.624,0.631,0.628,0.517,0.498,0.621,0.661,0.472
xlm-roberta-pt,0.248,0.599,0.733,0.533,0.493,0.633,0.473,0.697,0.358
xlm-roberta-ru,0.381,0.556,0.575,0.477,0.425,0.461,0.432,0.459,0.666
